李美洋,48,69,83,87,68,43,70
劉慧君,66,50,59,44,93,75,72
蕭怡伶,50,53,88,51,91,49,81
吳柏誠,59,73,67,43,100,48,55
王展人,63,45,47,60,49,47,48
黃名明,87,61,88,64,51,41,41
謝水儒,58,86,59,42,64,80,51
龐皓芳,51,80,62,49,74,43,75
吳晴洋,41,41,90,73,87,62,65
張明惟,53,69,88,60,64,63,49
吳欣書,51,52,51,75,84,57,66
周家銘,65,81,56,50,75,70,96
林佳蓉,42,40,49,59,94,81,73
郭淑枝,89,85,84,88,88,78,62
林建宏,98,84,47,51,64,44,99
蔡世馨,61,74,74,92,44,61,71
張牧聿,69,80,57,47,85,99,85
郭坤花,63,68,58,100,77,61,58
郭坤花,87,45,41,97,48,88,92
黃淑芬,71,89,58,54,83,67,54
傅佳琳,64,84,56,60,53,66,60
臧怡君,61,72,41,90,94,72,93
張慧君,94,88,51,79,82,70,85
陳美惠,84,88,98,76,58,80,100
龔姵君,74,60,66,74,59,52,71
陳倩潔,99,95,70,84,78,44,51
黃政甫,82,83,63,95,98,49,62
黃詩妃,88,91,97,61,82,54,74
黃心航,44,67,89,53,96,95,48
李進慧,90,53,51,86,45,73,65
黃翔杰,46,78,73,85,85,64,41
鞠冠宇,80,68,50,65,44,79,96
李慶亮,56,85,45,80,45,93,90
蔡欣汝,90,88,87,47,51,52,76
沈心利,95,94,52,94,65,52,92
陳家維,61,47,53,48,97,44,87
蔡世馨,45,52,64,70,44,73,75
張慧君,64,62,83,48,71,47,48
黎惠雯,84,92,47,47,45,61,97
陳文賢,69,99,81,97,46,59,49
翁羽威,77,40,65,46,54,66,69
金宜芳,69,74,95,75,65,47,55
林珍旺,43,52,59,72,58,53,94
黃旻林,64,86,58,61,77,46,97
童建霖,99,91,97,45,79,86,73
聶心怡,90,50,40,86,71,94,91
張韋成,66,82,78,91,91,94,82
李慶亮,55,87,71,88,76,58,76
翁均安,49,75,44,82,89,59,82
魏秋萍,96,59,71,47,45,92,51
